
      +------------------+
      |   id          x1 |
      |------------------|
   1. |    1    2.025588 |
   2. |    2    1.042631 |
   3. |    3    .2977124 |
   4. |    4   -1.722132 |
   5. |    5   -.7291995 |
      |------------------|
   6. |    6    .8618261 |
   7. |    7    -.239354 |
   8. |    8     .516549 |
   9. |    9   -1.812016 |
  10. |   10   -1.015124 |
      |------------------|
  11. |   11    1.095368 |
  12. |   12    1.332649 |
  13. |   13    -.360688 |
  14. |   14    .7351056 |
  15. |   15   -.9614829 |
      |------------------|
  16. |   16      .75213 |
  17. |   17   -.4666531 |
  18. |   18   -2.452076 |
  19. |   19   -2.322006 |
  20. |   20   -.6115704 |
      |------------------|
  21. |   21   -.4618155 |
  22. |   22    2.436316 |
  23. |   23   -.2123416 |
  24. |   24   -.8114582 |
  25. |   25    .0204311 |
      |------------------|
  26. |   26    .9089745 |
  27. |   27    1.000468 |
  28. |   28    .0400055 |
  29. |   29    1.743336 |
  30. |   30   -.3708646 |
      |------------------|
  31. |   31   -.1547564 |
  32. |   32   -1.554458 |
  33. |   33   -.7080316 |
  34. |   34   -.0601965 |
  35. |   35   -.0790126 |
      |------------------|
  36. |   36    .6055562 |
  37. |   37   -.8665136 |
  38. |   38      .43038 |
  39. |   39   -.9160471 |
  40. |   40    .9241885 |
      |------------------|
  41. |   41     .134037 |
  42. |   42    1.023776 |
  43. |   43    .2006883 |
  44. |   44   -.4237095 |
  45. |   45    .3103299 |
      |------------------|
  46. |   46   -.5142499 |
  47. |   47   -.7490882 |
  48. |   48   -1.354164 |
  49. |   49   -.6525941 |
  50. |   50    .0328846 |
      |------------------|
  51. |   51   -.6189822 |
  52. |   52   -.9560616 |
  53. |   53     .710319 |
  54. |   54   -.0171469 |
  55. |   55    1.793087 |
      |------------------|
  56. |   56   -.6413133 |
  57. |   57    .9137927 |
  58. |   58   -.5650643 |
  59. |   59   -.6269404 |
  60. |   60    .0329728 |
      |------------------|
  61. |   61   -1.311697 |
  62. |   62    .0321375 |
  63. |   63   -1.227839 |
  64. |   64   -.6824138 |
  65. |   65    1.032709 |
      |------------------|
  66. |   66   -.1106868 |
  67. |   67   -.7403983 |
  68. |   68   -.1817126 |
  69. |   69     .790556 |
  70. |   70   -.4528557 |
      |------------------|
  71. |   71   -2.566291 |
  72. |   72   -.9870923 |
  73. |   73    1.213854 |
  74. |   74      1.1479 |
  75. |   75   -1.845906 |
      |------------------|
  76. |   76    .2466657 |
  77. |   77   -.0849733 |
  78. |   78   -.1620399 |
  79. |   79    .4854001 |
  80. |   80   -.2555817 |
      |------------------|
  81. |   81   -.2768313 |
  82. |   82   -.6544462 |
  83. |   83   -1.336185 |
  84. |   84   -.0546583 |
