
      +------------------------------+
      |   id          x1          x2 |
      |------------------------------|
   1. |    1    2.025588    1.150474 |
   2. |    2    1.042631    .9364537 |
   3. |    3    .2977124    .8119158 |
   4. |    4   -1.722132    .8059601 |
   5. |    5   -.7291995    1.343209 |
      |------------------------------|
   6. |    6    .8618261   -2.125525 |
   7. |    7    -.239354   -1.996601 |
   8. |    8     .516549    .6831697 |
   9. |    9   -1.812016    .5489849 |
  10. |   10   -1.015124    .8122575 |
      |------------------------------|
  11. |   11    1.095368   -.9501525 |
  12. |   12    1.332649   -.2780237 |
  13. |   13    -.360688   -.3212889 |
  14. |   14    .7351056   -.8380134 |
  15. |   15   -.9614829    .3100668 |
      |------------------------------|
  16. |   16      .75213   -.1893629 |
  17. |   17   -.4666531   -.0658437 |
  18. |   18   -2.452076   -.2913466 |
  19. |   19   -2.322006   -.7133897 |
  20. |   20   -.6115704    .5532385 |
      |------------------------------|
  21. |   21   -.4618155    .0983845 |
  22. |   22    2.436316   -.8788937 |
  23. |   23   -.2123416   -.7190559 |
  24. |   24   -.8114582    .1559812 |
  25. |   25    .0204311   -.7886856 |
      |------------------------------|
  26. |   26    .9089745   -1.459527 |
  27. |   27    1.000468   -.8879552 |
  28. |   28    .0400055    1.693054 |
  29. |   29    1.743336    .9199528 |
  30. |   30   -.3708646   -.8018865 |
      |------------------------------|
  31. |   31   -.1547564   -.3751488 |
  32. |   32   -1.554458   -1.320305 |
  33. |   33   -.7080316    -1.31918 |
  34. |   34   -.0601965    .2650619 |
  35. |   35   -.0790126    1.309549 |
      |------------------------------|
  36. |   36    .6055562    1.866755 |
  37. |   37   -.8665136   -.5673487 |
  38. |   38      .43038    .9287876 |
  39. |   39   -.9160471   -.8108869 |
  40. |   40    .9241885   -.0765789 |
      |------------------------------|
  41. |   41     .134037   -1.145495 |
  42. |   42    1.023776   -.7790384 |
  43. |   43    .2006883   -.0547111 |
  44. |   44   -.4237095    1.112893 |
  45. |   45    .3103299    .1603225 |
      |------------------------------|
  46. |   46   -.5142499    .1833365 |
  47. |   47   -.7490882   -.1857648 |
  48. |   48   -1.354164    1.543412 |
  49. |   49   -.6525941    .2501159 |
  50. |   50    .0328846   -.4431367 |
      |------------------------------|
  51. |   51   -.6189822    2.060995 |
  52. |   52   -.9560616    .5919647 |
  53. |   53     .710319    .6371282 |
  54. |   54   -.0171469   -.3094155 |
  55. |   55    1.793087   -.8142263 |
      |------------------------------|
  56. |   56   -.6413133   -.4676585 |
  57. |   57    .9137927    .1152906 |
  58. |   58   -.5650643    .6577275 |
  59. |   59   -.6269404    .2099197 |
  60. |   60    .0329728    .2408739 |
      |------------------------------|
  61. |   61   -1.311697    .1331053 |
  62. |   62    .0321375    .9221322 |
  63. |   63   -1.227839    .1452569 |
  64. |   64   -.6824138   -1.201168 |
  65. |   65    1.032709    .3030159 |
      |------------------------------|
  66. |   66   -.1106868    .0781396 |
  67. |   67   -.7403983    .5766239 |
  68. |   68   -.1817126    1.460049 |
  69. |   69     .790556     .496789 |
  70. |   70   -.4528557    1.417394 |
      |------------------------------|
  71. |   71   -2.566291    1.065162 |
  72. |   72   -.9870923    .3149386 |
  73. |   73    1.213854   -.8657809 |
  74. |   74      1.1479    .2259166 |
  75. |   75   -1.845906   -.0448846 |
      |------------------------------|
  76. |   76    .2466657   -.9510348 |
  77. |   77   -.0849733   -.4428859 |
  78. |   78   -.1620399   -.5740361 |
  79. |   79    .4854001   -.2066575 |
  80. |   80   -.2555817   -.9533067 |
      |------------------------------|
  81. |   81   -.2768313    1.091907 |
  82. |   82   -.6544462   -1.078709 |
  83. |   83   -1.336185   -.5515449 |
  84. |   84   -.0546583   -.8225834 |
  85. |   85    .1403725   -.4321198 |
      |------------------------------|
  86. |   86   -.9984499   -1.187658 |
  87. |   87   -1.291706   -.0884619 |
  88. |   88    1.705364    .0551435 |
  89. |   89   -.3663575    .4060271 |
  90. |   90    1.368091    1.468675 |
      |------------------------------|
  91. |   91   -.5294532     .011059 |
  92. |   92   -1.121993    1.916072 |
  93. |   93   -.2736341   -2.229585 |
  94. |   94    .3632325   -.0513122 |
  95. |   95    .3122114     .482768 |
      |------------------------------|
  96. |   96   -.6627333    2.022357 |
  97. |   97   -.1025308    .5749766 |
  98. |   98    -.760644   -.0596045 |
  99. |   99   -.5178247   -.0331222 |
 100. |  100    .3475243   -.3443443 |
      |------------------------------|
 101. |  101    2.080849   -1.638395 |
 102. |  102   -.6577222   -.1783232 |
 103. |  103   -.0038635    1.150902 |
 104. |  104   -.3360559    1.428599 |
 105. |  105   -2.260383    .0856784 |
      |------------------------------|
 106. |  106   -.0455438   -.8267444 |
 107. |  107    .4389435     .855983 |
 108. |  108   -1.039081   -.4949028 |
 109. |  109   -.6975756    -1.48943 |
 110. |  110    1.686082   -.4342584 |
      |------------------------------|
